ticker,NVDA US Equity,DELL US Equity,INTC US Equity,QCOM US Equity,DBX US Equity,CVX US Equity,TRGP US Equity,LMT US Equity,BSX US Equity,LLY US Equity,AMGN US Equity,BMY US Equity,TIGR US Equity,BRK/B US Equity,JKS US Equity,LULU US Equity
field,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS,TOT_RETURN_INDEX_NET_DVDS
date,,,,,,,,,,,,,,,,
2024-07-08,128.2,145.97,33.99,207.89,22.24,154.33,132.55,461.76,76.11,918.0,311.46,39.99,4.33,409.08,21.12,294.03
2024-07-09,131.38,145.74,34.59,207.12,22.02,152.98,132.41,460.3,76.51,932.5,315.91,40.86,4.39,410.52,21.67,289.87
2024-07-10,134.91,145.77,34.87,208.8,21.87,155.13,132.89,461.01,77.11,939.78,321.67,41.12,4.67,413.79,22.04,288.08
2024-07-11,127.4,140.72,33.5,199.85,22.32,155.26,133.61,460.38,76.89,934.14,325.09,40.75,4.61,418.78,22.9,289.2
2024-07-12,129.24,139.57,34.49,202.43,22.68,155.59,135.05,463.73,77.69,948.4,330.83,40.46,4.53,424.44,23.21,291.06
2024-07-15,128.44,137.22,34.46,208.18,22.65,158.04,134.34,463.88,78.02,950.46,330.15,40.15,4.67,434.42,21.63,283.72
2024-07-16,126.36,134.26,34.34,209.64,23.18,157.77,134.82,468.58,78.14,941.6,333.14,41.2,4.61,438.9,23.21,291.76
2024-07-17,117.99,125.17,34.46,191.6,23.31,161.23,133.97,476.07,77.41,905.59,335.67,43.15,4.42,445.61,21.73,292.68
2024-07-18,121.09,125.34,34.87,191.46,23.23,161.97,136.17,476.0,75.55,848.9,330.97,42.39,4.24,441.82,21.36,285.13
2024-07-19,117.93,125.79,32.98,186.21,23.12,159.15,136.37,474.92,77.56,857.47,331.29,42.64,4.22,434.47,20.94,280.235
2024-07-22,123.54,128.74,33.37,194.97,23.17,156.99,137.76,474.59,78.27,865.97,335.97,42.67,4.31,435.98,21.54,285.0
2024-07-23,122.59,126.295,32.95,193.35,23.66,154.09,135.93,501.29,78.59,878.29,333.24,42.98,4.26,434.01,20.73,281.37
2024-07-24,114.25,116.5306,31.7,181.07,23.49,155.07,131.62,515.2,77.76,859.88,335.61,44.66,4.09,432.8,20.43,272.06
2024-07-25,112.28,111.824,31.1,175.39,24.0,157.54,131.98,521.4,74.26,821.19,334.3,45.27,4.04,433.29,20.34,247.32
2024-07-26,113.06,113.9615,31.35,180.05,24.15,157.84,131.57,524.8,74.92,804.62,334.85,50.45,4.12,437.66,21.48,253.5
2024-07-29,111.59,111.5932,30.83,178.64,24.06,156.6,133.01,527.64,75.59,807.79,332.51,48.98,4.05,438.31,21.25,259.03
2024-07-30,103.73,108.994,30.13,166.94,24.53,159.57,134.14,537.66,74.03,790.21,333.28,49.05,4.05,441.26,20.32,256.0
2024-07-31,117.02,114.082,30.74,180.95,23.92,160.47,136.03,541.92,73.88,804.27,332.47,47.56,4.08,438.5,20.76,258.66
2024-08-01,109.21,108.8134,29.05,164.0,23.22,152.62,136.8545,548.86,75.16,832.44,335.53,48.17,3.89,431.81,19.99,249.05
2024-08-02,107.27,102.6517,21.48,159.31,22.5,148.55,131.3039,548.77,74.5,804.46,333.99,48.77,3.74,428.36,18.91,236.0
2024-08-05,100.45,98.5272,20.11,157.95,21.53,144.66,128.5689,545.38,72.96,775.26,325.22,47.59,3.61,413.72,19.03,233.4
2024-08-06,104.25,95.0047,19.83,158.72,21.42,143.23,132.3497,541.56,73.76,793.18,328.95,47.31,3.67,422.14,19.11,236.9
2024-08-07,98.91,88.2008,19.115,156.12,21.68,142.41,133.9787,548.51,73.78,772.14,312.5,46.5,3.52,427.02,18.98,233.44
2024-08-08,104.97,91.7834,20.6249,164.95,21.73,144.49,137.4679,551.62,75.55,845.31,324.69,46.85,3.66,431.54,19.77,241.75
2024-08-09,104.75,92.8773,19.8397,164.48,22.44,144.99,136.4423,551.58,76.19,891.68,322.49,46.72,3.63,431.67,19.53,238.72
2024-08-12,109.02,95.6069,19.4874,162.89,21.89,145.02,138.3528,556.91,75.94,884.38,320.0,47.06,3.65,430.39,18.85,239.7
2024-08-13,116.14,100.2934,20.6047,169.47,22.48,144.15,137.3573,559.42,75.92,908.05,323.45,49.06,3.76,432.41,20.52,241.95
2024-08-14,118.08,103.314,20.0511,167.15,22.46,144.67,140.9371,563.22,76.42,931.68,322.73,48.41,3.74,438.47,20.07,240.49
